í	P RX RPX ADV ADVR RP
flestum	QS-D Q-D
löndum	NS-D
setja	VB VBPI
menn	NS-A NS22-A NS-N NS22-N N-A
á	INTJ P NS-G RX RPX N-D ADV N-N NPR22-A RP N-A VBPI
bækur	NS-A NS-N
annað	ADJ-A OTHER ADJ-N OTHER-N OTHER-A OTHER21
tveggja	NUM22 Q+NUM22 NUM-G
þann	PRO-A D-N WPRO-A PRO-N D-A
fróðleik	N-A N-D
er	P C C21 C22 BEP N-N BEPI BEDI FW N-A VBPI BEBI
þar	WADVP-1 ADV-1 PRO-N ADV WADVP-5 WADVP WADV
innan	P ADV RPX
lands	N-G
hefir	HVPI HVPS VBPI
gjörst	DON VBN DO
–	, .
eða	CONJP P CONJ
annan	ADJ-A PRO-A OTHER-N OTHER-A N-A
minnisamlegastur	ADJS-N
þykir	VBPI
þó	VBDI INTJ P ADV PP
að	FP21 P RP-TTT C RX XXX RPX C22 D-A PRO-N ADV TO RP CONJ
annars	N-G OTHER-G OHTER-G OTHER+G ADV ADJ-G
staðar	N-G NPR-G N22
hafi	NPR-D HVPI N-D HVDS HVPS
heldur	FP ADV ADVR RP CONJ VBPI
lög	NPRS-A N-A NS-A NS-N
sín	PRO-N PRO-G PRO-A
hver	WPRO-D WPRO-N Q21 WD-A WNP Q-N N-N PRO-N WN-D WQ-N Q-D WD-N N-D WNP-N-1 N-A WADV Q-A WPRO-N-2 WPRO-CASE ADJS-N D-N WPRO-A WNP-2 WPRO
þjóð	N-N N-A N-D
sína	Q-A PRO-A PRO-D NPR-N N-A
tungu	N-G NPR-D N-D NPR22-A N-A NPR-G
.	.-TTT , ; .
en	P FW C D-N BEPI-TTT D-D FP N-N ADV ADVR D-A RP CONJ
af	N21 P ADV22 NPR21-N RPX ADV REP RP
því	NPR-A P PRO-A WPRO-D WADVP-1 PRO D-D WADV-D N-D PRO-D ADV PRO-N NPR-N N-N WADV
tungurnar	NS-N
$nar	D-G D-A D-N
eru	BEDI BEPI C VBPI
ólíkar	ADJ-A ADJ-N
annarri	OTHER-D
,	, .
þær	PRO-A D-N D-D PRO-N NS-N D-A
þegar	P WADVP-4 C WADVP-1 WADVP-2 ADV WADV
úr	P RPX ADV21 N-N ADV RP
einni	ONE-A FP-D ONE-D
og	NEG INTJ P C ALSO ALSO-TTT FW CONJP CONJ
hinni	D-D PRO-D Q-D
sömu	ADJ-A ADJ-N ADJR-D ADJ-D ADJ-G
hafa	HVPI HVPS HV
gengist	VBN VBDS
greinst	VBN
þá	VBDI P ADJ-A PRO-A D-N POR-A D-D NS-A ADV PRO-D PRO-N D-A N-A WADV
þarf	VBPI
ólíka	ADJ-A
stafi	NS-A VBPS
eigi	NEG NEG-3 VBPS ADJ-D VBPI
hina	PRO-A D-A
alla	Q-G Q-A
öllum	NS-D Q-D N-D PRO-D OTHERS-D
sem	P C C21 C22 ADV
